game_id,season,week,CONSTANT_SCALE_NO_KEY_integer_log_score,CONDITIONAL_SCALE_NO_KEY_integer_log_score,CONSTANT_SCALE_KEY_integer_log_score,FULL_CONDITIONAL_SCALE_KEY_integer_log_score
2022_15_PIT_CAR,2022,15,3.820708973979078,3.8180430098367855,3.9859677758507766,3.989225522634811
2022_15_SF_SEA,2022,15,3.5558148684713715,3.556064729942413,3.746514432811353,3.7573741070939475
2022_15_TEN_LAC,2022,15,3.477268001397251,3.4820639645969815,2.5169933549714543,2.5263981534559683
2022_16_ATL_BAL,2022,16,3.4843535234944216,3.4683895009715378,3.6718114185858184,3.653117177675161
2022_16_BUF_CHI,2022,16,4.082671437642106,4.084769549184558,4.204548706842371,4.210114929834777
2022_16_CIN_NE,2022,16,3.4804175217657325,3.4793673975659454,3.6786873304725463,3.6899859191290436
2022_16_DEN_LA,2022,16,7.841377094011667,7.902177664585731,7.6522761531412575,7.636863664756289
2022_16_DET_CAR,2022,16,4.311954004235236,4.310941270758033,4.429432333649767,4.421857352538479
2022_16_GB_MIA,2022,16,3.75896850810431,3.7621510087170917,3.928383260374152,3.936601387408495
2022_16_HOU_TEN,2022,16,3.6775595331652307,3.669677653123878,3.856104960176451,3.856953144211994
2022_16_JAX_NYJ,2022,16,4.5195009454422514,4.5282341219690805,4.6171992227642225,4.613185004907197
2022_16_LAC_IND,2022,16,4.040962391177571,4.040793443061575,4.182683460134764,4.183152691385242
2022_16_LV_PIT,2022,16,3.478055441421026,3.472669098112191,2.518596647901934,2.5210242985036633
2022_16_NO_CLE,2022,16,3.7890976749545233,3.7828813635553136,3.1882005567627725,3.1835653179250984
2022_16_NYG_MIN,2022,16,3.48435352349442,3.4889141521388254,2.5197583785009656,2.5220852766585327
2022_16_PHI_DAL,2022,16,3.4898622491881337,3.495020843039964,3.6849270757083374,3.697241040852203
2022_16_SEA_KC,2022,16,3.515805647460163,3.515401821006838,3.680993705281538,3.658486630479792
2022_16_TB_ARI,2022,16,3.5409215267463576,3.534178892398221,2.559668779846289,2.538592373662158
2022_16_WAS_SF,2022,16,3.8207089739790754,3.8168870728052497,3.9746567724631037,3.970825720220043
2022_17_ARI_ATL,2022,17,3.5902499295093375,3.5842471293265517,3.765061964487463,3.754860374718727
2022_17_CAR_TB,2022,17,3.496942024158057,3.493279293431943,3.6924987675763847,3.698883796725416
2022_17_CHI_DET,2022,17,5.545118102377339,5.517355813608437,5.54401174285177,5.508399613856137
2022_17_CLE_WAS,2022,17,4.170273715894203,4.169949353228149,4.303116151499384,4.297360803544611
2022_17_DAL_TEN,2022,17,3.477268001397251,3.460190396096986,3.625958600038659,3.565330196982321
2022_17_DEN_KC,2022,17,3.820708973979078,3.81763173797052,2.7793271761157343,2.755203128137833
2022_17_IND_NYG,2022,17,4.995149747523286,5.013140852163927,5.040772729150096,5.060348640974821
2022_17_JAX_HOU,2022,17,5.261344135601425,5.262219255675876,5.28832252686898,5.270220738125361
2022_17_LA_LAC,2022,17,4.125779192891764,4.127559530415889,4.249894242354158,4.2544633699132275
