variant,nu,lambda_scale,lambda_key,inner_seasons,mean_primary_score,score_2019,score_2020,score_2021,outer_season,score_2022,score_2023,score_2024
FULL_CONDITIONAL_SCALE_KEY,4,10.0,1.0,"2022,2023,2024",3.8696208327935424,,,,2025,3.7933324432892497,3.916568749768305,3.8989613053230734
FULL_CONDITIONAL_SCALE_KEY,4,10.0,10.0,"2022,2023,2024",3.871984821553476,,,,2025,3.7925217253907997,3.920849399529065,3.9025833397405627
FULL_CONDITIONAL_SCALE_KEY,6,1.0,1.0,"2022,2023,2024",3.862843816913356,,,,2025,3.7878262713403994,3.9089879220893304,3.891717257310337
FULL_CONDITIONAL_SCALE_KEY,6,1.0,10.0,"2022,2023,2024",3.865162796899302,,,,2025,3.786981720172907,3.913230693256106,3.895275977268894
FULL_CONDITIONAL_SCALE_KEY,6,10.0,1.0,"2022,2023,2024",3.862769267888615,,,,2025,3.787945993808563,3.9088579873755958,3.891503822481687
FULL_CONDITIONAL_SCALE_KEY,6,10.0,10.0,"2022,2023,2024",3.8650907904183813,,,,2025,3.7871044769920084,3.913104118302949,3.8950637759601867
FULL_CONDITIONAL_SCALE_KEY,10,1.0,1.0,"2022,2023,2024",3.8596748899406506,,,,2025,3.78655859668678,3.9049482248429723,3.8875178482921986
FULL_CONDITIONAL_SCALE_KEY,10,1.0,10.0,"2022,2023,2024",3.861939495072518,,,,2025,3.7856830989102495,3.9091354530065483,3.890999933300756
FULL_CONDITIONAL_SCALE_KEY,10,10.0,1.0,"2022,2023,2024",3.8596257429008527,,,,2025,3.786662733221123,3.904849462830011,3.8873650326514233
FULL_CONDITIONAL_SCALE_KEY,10,10.0,10.0,"2022,2023,2024",3.861890697909306,,,,2025,3.7857881848464006,3.909036616068685,3.8908472928128335
FULL_CONDITIONAL_SCALE_KEY,30,1.0,1.0,"2022,2023,2024",3.859463489139321,,,,2025,3.789169117245846,3.9037257309921745,3.885495619179942
FULL_CONDITIONAL_SCALE_KEY,30,1.0,10.0,"2022,2023,2024",3.861645355798642,,,,2025,3.788257948935349,3.9078293034145353,3.888848815046042
FULL_CONDITIONAL_SCALE_KEY,30,10.0,1.0,"2022,2023,2024",3.8594433024912753,,,,2025,3.7892385408157137,3.9036734799385755,3.8854178867195364
FULL_CONDITIONAL_SCALE_KEY,30,10.0,10.0,"2022,2023,2024",3.8616256324712137,,,,2025,3.7883273806872944,3.90777453786256,3.8887749788637866
