sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2022_2024,RAW_B0,5,0.5,0.6000000000000001,266,0.5477024436090225,0.556390977443609
2022_2024,RAW_B0,6,0.6000000000000001,0.7000000000000001,188,0.6427688829787234,0.6808510638297872
2022_2024,RAW_B0,7,0.7000000000000001,0.8,42,0.7321226190476191,0.8095238095238095
2022_2024,RAW_B0,8,0.8,0.9,1,0.84115,1.0
2022_2024,RAW_B0,9,0.9,1.0,0,,
2022_2024,MARKET_BENCHMARK,0,0.0,0.1,1,0.0875576036866358,0.0
2022_2024,MARKET_BENCHMARK,1,0.1,0.2,15,0.1636541653878471,0.2
2022_2024,MARKET_BENCHMARK,2,0.2,0.30000000000000004,54,0.254799539524902,0.25925925925925924
2022_2024,MARKET_BENCHMARK,3,0.30000000000000004,0.4,114,0.3550436191015708,0.2982456140350877
2022_2024,MARKET_BENCHMARK,4,0.4,0.5,132,0.4460865833742899,0.3939393939393939
2022_2024,MARKET_BENCHMARK,5,0.5,0.6000000000000001,163,0.559399705611936,0.5950920245398773
2022_2024,MARKET_BENCHMARK,6,0.6000000000000001,0.7000000000000001,160,0.6459827580464775,0.6625
2022_2024,MARKET_BENCHMARK,7,0.7000000000000001,0.8,126,0.7475799513186048,0.7698412698412699
2022_2024,MARKET_BENCHMARK,8,0.8,0.9,47,0.8463672593829356,0.8723404255319149
2022_2024,MARKET_BENCHMARK,9,0.9,1.0,3,0.9167169317356043,1.0
2022_2024,FST_PLUS_A0,0,0.0,0.1,1,0.06957870279016105,0.0
2022_2024,FST_PLUS_A0,1,0.1,0.2,25,0.1593702084628606,0.2
2022_2024,FST_PLUS_A0,2,0.2,0.30000000000000004,70,0.2546563699365422,0.2857142857142857
2022_2024,FST_PLUS_A0,3,0.30000000000000004,0.4,135,0.3563232715149204,0.3037037037037037
2022_2024,FST_PLUS_A0,4,0.4,0.5,108,0.4460685609606774,0.42592592592592593
2022_2024,FST_PLUS_A0,5,0.5,0.6000000000000001,189,0.5554200934025392,0.6455026455026455
2022_2024,FST_PLUS_A0,6,0.6000000000000001,0.7000000000000001,136,0.6461346156881287,0.6764705882352942
2022_2024,FST_PLUS_A0,7,0.7000000000000001,0.8,109,0.7456864485579632,0.7706422018348624
2022_2024,FST_PLUS_A0,8,0.8,0.9,40,0.8523263163495762,0.875
2022_2024,FST_PLUS_A0,9,0.9,1.0,2,0.9270653773676366,1.0
2025_non_pristine,FST_PLUS_A0,0,0.0,0.1,1,0.08412948232144912,0.0
2025_non_pristine,FST_PLUS_A0,1,0.1,0.2,18,0.16595394751061746,0.16666666666666666
2025_non_pristine,FST_PLUS_A0,2,0.2,0.30000000000000004,29,0.25734753760181184,0.27586206896551724
2025_non_pristine,FST_PLUS_A0,3,0.30000000000000004,0.4,36,0.35563084413383406,0.4166666666666667
2025_non_pristine,FST_PLUS_A0,4,0.4,0.5,37,0.44719271790774434,0.4864864864864865
2025_non_pristine,FST_PLUS_A0,5,0.5,0.6000000000000001,44,0.5593379781227993,0.5227272727272727
2025_non_pristine,FST_PLUS_A0,6,0.6000000000000001,0.7000000000000001,41,0.6484139562192545,0.6097560975609756
2025_non_pristine,FST_PLUS_A0,7,0.7000000000000001,0.8,34,0.7507363058213321,0.7058823529411765
2025_non_pristine,FST_PLUS_A0,8,0.8,0.9,27,0.8600932564059076,0.9259259259259259
2025_non_pristine,FST_PLUS_A0,9,0.9,1.0,5,0.9144370620926429,1.0
2022_2024,FST_PLUS_B0,0,0.0,0.1,1,0.06959135293823202,0.0
2022_2024,FST_PLUS_B0,1,0.1,0.2,25,0.15940012566104353,0.2
2022_2024,FST_PLUS_B0,2,0.2,0.30000000000000004,70,0.2546737427908037,0.2857142857142857
2022_2024,FST_PLUS_B0,3,0.30000000000000004,0.4,134,0.3559970918353743,0.30597014925373134
2022_2024,FST_PLUS_B0,4,0.4,0.5,109,0.4456515016947824,0.42201834862385323
2022_2024,FST_PLUS_B0,5,0.5,0.6000000000000001,189,0.5554338831036328,0.6455026455026455
2022_2024,FST_PLUS_B0,6,0.6000000000000001,0.7000000000000001,136,0.6461435326835113,0.6764705882352942
2022_2024,FST_PLUS_B0,7,0.7000000000000001,0.8,109,0.7456955326863429,0.7706422018348624
2022_2024,FST_PLUS_B0,8,0.8,0.9,40,0.8523447799754784,0.875
